Department,Number,Size,Grade
ILRHR,3670,30,B+
ILRHR,4603,29,B
ILRHR,4620,32,A
ILRHR,4640,30,A-
ILRHR,4650,29,A-
ILRHR,4664,32,A-
ILRHR,4970,13,A
ILRIC,2350,57,A-
ILRIC,3342,19,A-
ILRLE,2400,135,B+
ILROB,1220,158,B+
ILROB,3290,17,A
ILROB,3700,16,A-
ILROB,3702,20,B+
ILROB,4240,18,A-
ILROB,4260,40,A-
ILRST,2110,22,A
INFO,2950,22,B+
INFO,4320,28,A-
INFO,4900,18,A
ITAL,1101,13,A-
ITAL,1110,16,A-
ITAL,1220,90,A-
ITAL,2190,15,A
JAPAN,1102,43,B+
JAPAN,2202,17,A
JAPAN,3302,19,A
KOREA,1102,23,A
KOREA,1110,13,A-
LA,1420,19,A-
LA,2020,16,A
LA,3020,12,A
LA,3180,22,B+
LA,4020,13,A-
LA,4320,18,A-
LA,4940,15,A-
LA,4970,23,A
LATIN,1202,30,A-
LATIN,1205,10,A-
LATIN,2204,20,A-
LING,1100,85,A
LING,1101,67,B+
LING,2236,20,A
LING,3302,16,A-
LING,3304,14,B+
LING,3314,20,A
MAE,1900,80,A
MAE,2120,110,B
MAE,2250,128,B+
MAE,3060,42,A-
MAE,3240,112,B
MAE,3260,108,B
MAE,3272,127,A-
MAE,4170,14,A
MAE,4230,41,B+
MAE,4291,52,A
MAE,4860,50,A-
MAE,4900,190,A
MATH,1106,93,B
MATH,1110,156,B-
MATH,1120,203,B
MATH,1340,51,A-
MATH,1710,82,B+
MATH,1910,35,B-
MATH,1920,358,B-
MATH,2130,45,A-
MATH,2210,87,B
MATH,2220,95,B+
MATH,2240,14,A
MATH,2310,23,B+
MATH,2930,436,B
MATH,2940,354,B
MATH,3040,48,B
MATH,3110,21,B+
MATH,3360,50,B
MATH,3560,19,A-
MATH,4130,19,A
MATH,4140,25,A-
MATH,4180,13,B+
MATH,4220,36,A
MATH,4280,22,A-
MATH,4340,15,A
MATH,4370,18,B+
MATH,4420,11,A-
MATH,4540,11,A
MATH,4720,25,C+
MATH,4740,49,A
MEDVL,1101,75,A
MEDVL,1102,16,A-
MILS,1102,53,A+
MILS,2202,24,A-
MILS,2270,39,A
MILS,3302,25,A
MILS,3311,23,A+
MILS,4402,20,A
MILS,4411,17,A
MSE,3040,28,A-
MSE,3050,23,B
MSE,3120,26,A
MSE,4040,13,B
MSE,4060,15,A-
MSE,4100,16,B+
MSE,4610,47,B
MUSIC,1101,39,A
MUSIC,1104,10,A-
MUSIC,1701,16,A-
MUSIC,2102,19,A
MUSIC,2104,19,A
MUSIC,2221,19,A
MUSIC,3502,64,A
MUSIC,3602,35,A
MUSIC,3603,36,A+
MUSIC,3604,37,A+
MUSIC,3613,11,A
MUSIC,3621,61,A
MUSIC,3631,48,A
MUSIC,3633,36,A
MUSIC,4501,14,A
MUSIC,4615,14,A
MUSIC,4616,19,A
MUSIC,4621,23,A
MUSIC,4631,12,A
MUSIC,4651,15,A
NAVS,4402,12,A-
NBA,3000,74,A-
NES,1321,13,A+
NES,1991,15,A-
NES,2537,10,A-
NES,3207,11,A
NES,3213,11,A
NES,4204,11,A
NES,4560,15,A-
NES,4992,10,A
NS,1220,88,B
NS,2470,26,A-
NS,2600,118,A-
NS,3310,100,B+
NS,3410,325,B+
NS,3420,102,B+
NS,3500,58,B+
NS,4010,29,A
NS,4030,35,A+
NS,4130,11,A-
NS,4250,39,A
NS,4500,54,A-
NS,4600,43,A+
NS,4880,38,A
NS,4990,14,A
NTRES,2010,185,A-
NTRES,2320,56,B
NTRES,3240,40,A-
NTRES,3260,23,A
NTRES,4240,14,A-
NTRES,4300,20,A
NTRES,4330,12,B+
NTRES,4940,17,A
ORIE,3120,102,B+
ORIE,3310,101,B
ORIE,3800,40,B+
ORIE,4150,61,A-
ORIE,4350,66,A-
ORIE,4820,58,B+
ORIE,4990,16,A
ORIE,4999,12,A
PAM,2000,125,B+
PAM,2040,46,B
PAM,2100,382,B
PAM,2300,124,A
PAM,2350,186,A-
PAM,3280,39,A
PAM,3290,28,A
PAM,3410,27,A
PAM,3440,68,A-
PAM,3550,26,A-
PAM,3800,66,B+
PAM,4010,22,A
PAM,4030,15,A
PAM,4360,42,A
PHIL,1100,119,B+
PHIL,1110,34,B+
PHIL,1111,44,A-
PHIL,1112,33,B+
PHIL,1421,17,A-
PHIL,2220,43,A-
PHIL,2310,31,B+
PHIL,2410,29,A-
PHIL,2620,40,A-
PHIL,3220,21,B+
PHYS,1090,13,A
PHYS,1102,239,A-
PHYS,1112,345,B
PHYS,1116,40,B+
PHYS,1203,195,A-
PHYS,2207,56,A-
PHYS,2208,271,B
PHYS,2213,172,B+
PHYS,2214,214,B
PHYS,2218,24,B+
PHYS,3310,12,A-
PHYS,3314,13,B+
PHYS,3316,33,B
PHYS,3318,26,A-
PHYS,4410,32,B+
PHYS,4443,29,A-
PHYS,4444,13,A
PHYS,4490,19,A
PLBR,2250,28,A
PLBR,2500,15,C
PLPA,1100,16,A
PLPA,2010,249,A-
PLPA,2013,51,A
PLPA,2015,51,A
PORT,2190,22,A-
PSYCH,1130,16,B
PSYCH,2090,129,B+
PSYCH,2800,193,B
PSYCH,3010,25,B+
PSYCH,3260,40,B
PSYCH,3850,175,B+
PSYCH,4410,14,A-
PSYCH,4700,96,A
PSYCH,4710,15,A
ROMS,1104,16,B+
ROMS,1105,15,B+
ROMS,1107,14,B+
RUSSA,1122,14,A-
RUSSA,2204,16,A-
SHUM,1110,15,B+
SHUM,1130,13,B+
SOC,1101,332,B+
SOC,1110,14,B+
SOC,1120,16,A-
SOC,2160,17,A-
SOC,2190,19,A-
SOC,2460,102,A-
SOC,2800,11,A-
SOC,3110,20,B+
SOC,3570,13,A-
SOC,3750,47,A-
SOC,4910,16,A
SPAN,1114,17,B+
SPAN,1116,13,A-
SPAN,1220,83,B
SPAN,1230,64,B
SPAN,2070,29,B+
SPAN,2090,153,B
SPAN,2140,29,A-
SPAN,2190,55,A-
SPAN,3110,34,A-
SPAN,3940,20,A-
SPAN,4830,14,A-
STS,1123,16,A-
STS,1126,16,A-
STSCI,4060,20,A
SWED,2050,38,A
TAM,3100,31,B+
THETR,1290,17,A
THETR,2410,13,A-
THETR,2510,10,A
THETR,2800,91,A
THETR,2810,21,A
THETR,2840,10,A
THETR,3560,11,A
THETR,3840,13,A-
THETR,3850,14,A-
THETR,4260,12,A-
PHIL,2240,18,B
PSYCH,3250,194,A-
COMM,4400,35,A-
NES,3102,15,A
ENGL,3509,12,A-
ASRC,3304,10,A-
HIST,2540,41,B
HORT,4552,20,B+
ARCH,3811,23,A-
ENGL,3712,19,A-
NES,2668,183,A
ANTHR,1200,125,B+
ANTHR,4209,11,A
NES,4550,12,B+
ANTHR,2235,23,B+
ARTH,4761,12,A-
GERST,3770,15,A-
ENGL,2620,16,A-
CRP,3103,12,A
HIST,3470,14,A-
MSE,2060,68,B+
MAE,4180,11,B
NES,3588,20,A-
BTRY,3020,36,A+
CHEME,4810,31,B+
PSYCH,3320,21,B
ARTH,3505,37,A-
FDSC,4800,26,A
CHEME,4020,60,B+
BIOAP,3160,58,A-
BIOEE,3690,81,B+
GOVT,2827,39,A-
ECON,4690,47,B+
COML,3260,10,B+
ANTHR,3422,12,A-
COMM,4450,12,A-
PSYCH,2140,217,A-
GOVT,3293,55,B+
COMM,2850,116,A-
HADM,4412,23,B+
ILRLE,4430,39,B+
CS,3420,112,B+
BEE,4530,44,A
AEP,2640,51,B+
STS,3561,47,B+
GOVT,3281,63,B+
PAM,3500,91,B+
PAM,3501,27,A-
SPAN,2150,26,A-
SPAN,3930,11,A
HORT,4920,33,A
GOVT,4715,10,A-
HORT,4551,22,B+
CS,3300,45,B+
ENGL,3550,39,A-
ILRLE,3440,79,B+
ANTHR,2201,27,A-
SPAN,2170,17,A
EAS,1220,141,B+
DEA,4220,21,A-
MSE,2620,62,B
PHYS,3360,30,A-
NES,1202,45,A
NES,1102,23,A
BEE,4810,27,B+
LING,1109,69,A-
CEE,3230,97,B+
DSOC,3240,41,A-
AEM,4510,42,A-
CSS,4110,16,B+
BIOMI,3970,10,A-
ENGRG,3600,17,A-
BSOC,2061,88,B+
PAM,3360,36,A-
ARTH,4508,10,B
ENGL,3690,15,A
PSYCH,3280,22,A
FILM,4730,10,A-
HORT,4555,13,B+
MUSIC,1341,19,A
STS,4231,12,A
BIOMS,3310,47,A-
COML,3701,14,A-
ARTH,3224,13,B+
CLASS,3661,11,A-
STS,4441,17,A
HIST,4030,13,A-
LING,2218,13,A
HIST,2750,24,A-
NES,2699,38,B+
BIOAP,4130,37,B+
STS,1102,15,B
HIST,3251,38,A-
NES,3670,15,A-
MUSIC,1312,166,B+
HIST,3700,26,A-
LING,3321,25,A-
PSYCH,3220,16,A-
ENGL,4580,12,A
ARTH,3760,57,B
ENTOM,3440,20,A-
CS,2300,89,B+
NES,2200,18,A
DSOC,2050,75,B+
